filename,x position,y position,z position,x rotation,y rotation,z rotation,x field of view,y field of view,camera focal length,x pixel well size,y pixel well size,UNIX timestamp,x pixel count,y pixel count
1207431805.69566202_sc00110_c2_PAN,3074.73,3057.87,5338.56,,,,0.048869219055841226,0.048869219055841226,3.6,6.5,6.5,1523410987,,
1207431816.69573219_sc00110_c2_PAN,3076.14,3031.42,5337.9,,,,0.048869219055841226,0.048869219055841226,3.6,6.5,6.5,1523411239,,
